"We regularly buy our coffee from Kaffeagenterne.dk. We found them because it was one of the few places we could find decaffinated espresso beans in Denmark. Now, we rarely buy coffee from anywhere else. The quality of the beans and the service are great!",3,M,5,denmark,great,3,place press ka liffe monte one found service rarely fin
I have eaten here many many times and have always found the staff friendly and the healthy food selection exceptional.,3,M,4,denmark,friendly healthy,4,always eaten exceptional food found friendly healthy many selection staff
God service.,3,F,5,denmark,god,1,god service
It was a such a great experience to buy things using cyclingshop.dk I will for sure recommend it!,3,M,5,denmark,great recommend,5,ask buy cycling experience great recommend sho sure thing using
Lars.,3,F,1,denmark,nothing,0,lars
I lost my 3G connection for some months and no compensation though I paid for it. Also they were supposed to send me a new contract better suited to my consumption habits but it never came....instead I received a new offer?!?,3,M,3,denmark,lost no better,-2,month instead supposed suited send received paid offer new never
Everything else works smoothly as well,3,F,5,denmark,nothing,0,else everything smoothly well work
"I would like to express my opinion regarding the 2 slimming treatments I have done at Star Shape. I found that the procedure of both Tei 1 treatment, which tightens one’s body muscles  and Tei 2 treatment, which burns one’s body fat, were very positive and fulfilled all my expectations.",3,F,5,denmark,like positive fulfilled,6,shape star positive procedure regarding one slim treatment tighten muscle
Nemme at handle med.,3,F,5,denmark,nothing,0,handle med mme ne
Run by a Dane - as serious and serviceminded as they come...,3,M,5,denmark,nothing,0,come dane mind run serious service used
All went just as it should.,3,M,5,denmark,nothing,0,went
Good danish food at an affordable price-range. Nice environment and friendly service. Will definately be back.,3,M,5,denmark,good nice friendly,8,good friendly service range price nice affordable danish environment back
I got a very good price for the Nikko0r 55-300 AFS DX VR zoom lens... and the packet arrived in 3 days .. it was good deal,2,M,5,denmark,good good,6,lens got vr six price packet nik m40 3 ko
"I needed to exchange my American drivers license for a Danish one, and was referred to Søernes Trafikskole by a coworker.",2,F,5,denmark,nothing,0,esko erik stern referred one needed license exchange ##ø danish
"Whenever I have been in contact with Techniker Krankenkasse, I have receive The most helpful service. It is always informative, friendly and honest.",2,M,5,denmark,helpful friendly honest,6,native k use tech service receive nik always lukas helpful
"I used Gomore recently coming back from Jutland (Ikast) to Copenhagen. I could easily find availability for two people at a time suitable for us, and for a much cheaper price than by train. Cars pollute, but since we seem to not be able to do without them, we may as well fill them up. It is impressive what Gomore has been able to accomplish without any external support. If anything, a future vision of sustainable mobility should include more carpooling.",3,M,5,denmark,impressive accomplish support vision,8,suitable support poll pool price recently route rutland seem since
"One of the best IDE's e have ever seen for PHP programming.. I have tried many alternatives, but i keep falling back to this one, i REALLY love this piece of software.. it is AMAZING!",2,M,5,denmark,best falling love amazing,9,many love software seen really programming pop piece one alternative
"A couple of weeks ago I ordered online a portable massage-chair, and I was highly impressed by the speed of delivery within 3 days of ordering the product was in my hands. The packing and the product turned out to be perfectly OK, and Tretti now has a fully satisfied customer added to its list.",3,M,5,denmark,impressed perfectly satisfied,8,portable satisfied ordering packing patti perfectly online product week tre
"I had contacted call me customer service through their FB fan page yesterday ( Sunday, 27/1/13 ) at 20:00 CET regarding my 3G access problem. I was actually surprised getting and answer back  from Frederik  Samberg just in a few minutes!  He was very helpful.",2,F,5,denmark,fan problem helpful,3,page problem fred getting helpful job minute f service sunday
I ordered a Lacie Rikiki 500GB on 10 November. I did not receive my order until 22 nov. Very slow delivery when their page states 3-4 days.,3,M,4,denmark,nothing,0,november lac slow ski ri receive page ordered order 10
"I have used LensOn for 1½ year, and I have always been very satisfied with their service og products. I can recommend anybody to use this company.",3,F,5,denmark,satisfied recommend,4,recommend og used use service satisfied ##½ product always company
Super service.,3,M,5,denmark,super,3,service super
"i am so pleased with them,, they felt strange to start but now there great....   internet shop was quick and easy.....   was also fantastic with the free fingers. i use them all the time....",3,M,5,denmark,pleased strange great easy fantastic free,11,pleased internet time strange start shop quick also finger felt
"Wide food range and many competitive prices/discounts. Never have problems with parking, my kids love to say hello to Ulven.",3,M,5,denmark,competitive problems love,3,never many say range problem price parking competitive hello food
"We have had the pleasure of buying our electrical supplies from Greenline.dk on severel occassions. Each time we have receieved prompt og profesional service. We received all our order within 48 hours!! We desperately needed an EDB (6 udgang) panel for our IT department, which all others were selling for 600-700 kroner....we found the same panel at Greenline. dk for 169 kroner....DERFOR greenline.dk!!",3,M,5,denmark,pleasure severe desperately,-2,received service order others panel pleasure prof prompt rec needed
Super service.,3,M,5,denmark,super,3,service super
"Delivered in 2 days, got SMS about delivery time, product was as promised.",3,F,5,denmark,promised,1,2 day delivered delivery got product promised sm time
"Right so i just ordered my 3rd game from Go2Arena, and i have to say they are awesome. I really don't have much to complain about, other then sometimes their website gets a little messy, or at least that is my opinion.",1,M,5,denmark,awesome complain,2,opinion na u2 sometimes say right really ordered ord awesome
your site is easy to use and it is easy to find what your looking for i have had no problem so far :),2,M,5,denmark,easy easy no problem,-1,easy far find looking problem site use
God service.,3,M,5,denmark,god,1,god service
"I ordered frames in April with expected delivery date in 5-11 days. After 5 weeks (!) of waiting I wrote an email asking for the order status - turned out it was not even sent yet! They promised me 5-11 days again, apologized and offered 5% discount. I admit that the email was nice and convincing. BUT after two days I got exactly the same email, from a different person, who offered 10% discount. So apparently their customer support is confused as well and multiple people handle the same case. Anyway, I decided to wait again. It was in July that I finally asked for a full refund ( I received the money within a week, so at least this aspect is ok). I'm so disappointed with this company. I wouldn't recommend it to anyone, it's really not worth wasting your time.",2,F,1,denmark,promised apologized admit nice support confused disappointed recommend worth wasting,2,ordered order received really promised person people ref nice multiple
"My first time ive bought Bitcoins, and i ended up ordering for 10 Dollars at first, and then 100 dollars after.. Nice and safe and as a newbie with no deep knowledge to Bitcoin i felt good about the deal.",2,M,5,denmark,nice safe no good,6,first felt safe ordering nice new knowledge iv good gain
"Well organized webshop, delivery time as stated and cooperation with Post Danmark, where you can track your order. For sure not the last time I have ordered something!",2,F,5,denmark,nothing,0,sho post web track time sure stated something cooperation order
"I am very satisfied with my master card, very convenient.",2,F,5,denmark,satisfied,2,card convenient master satisfied
"I've used Amazon for a few years now, and there customer service is just superb.",3,M,5,denmark,superb,5,amazon customer service superb used year
I ordered four All Season tyres and they delivered four Snow tyres.  I called them and e-mailed them complaining about their mistake.  Then I received an e-mail from Ms. Alina Oprea who replied that they did not have the tyres I ordered in stock and therefore they had sent different speed tyres.  I insisted on the fact that I had ordered All Season tyres and they had delivered Snow tyres instead.  She never replied my e-mails again.  I call Daekonline.DK here in Denmark today and they told me that they have plenty of tyres as the ones I need but they cannot do anything since the order had been canceled from somewher else.  I just want my money back I buy tyres in a more serious e-shop.,3,M,1,denmark,mistake want,-1,plenty order season replied received serious ordered never one shop
#Edit:,3,M,1,denmark,nothing,0,edit
"Fast delivery and as ordered, nothing to improve",3,M,5,denmark,improve,2,delivery fast improve nothing ordered
^ says everything.,1,M,5,denmark,nothing,0,everything say
Army Star is fast to deliver your product and I haven't experienced anything bad about them. They are also easy to order at and have most payment methods,1,M,5,denmark,bad easy,-2,fast experienced product payment order method also army deliver anything
super duper at handle her,3,F,5,denmark,super,3,du handle paper super
"Was with 3 almost from when they started in Denmark until now (2011) and they sucked the whole time.  First it was the crappy phones and the no or at best the bad connection they had.  Okey that got fixed over the years but then the prises really started going up and I constantly had problems with my phonebill, it being much, much higher than I expected, all the time.  Even when I had not used the phone that much.  I never received any offers or special deals from them, although I know that people (my friends) who have had contract with them for just a few months or years have gotten some nice deals.  I never, once got offered anything, even though I was considered a loyal costumer (saw it my self on their pc screen) and had been with them for so long.  Well, I´m not done !",3,M,1,denmark,crap no best bad problems nice loyal,0,offered offer phone people pc ok problem month never received
fed sted at game,1,M,5,denmark,nothing,0,fed game ste
Love shopping at PostMe. Great prices and service.,2,F,5,denmark,love great,6,great love post price service shopping
During the past 3 days I have tried to lock on to my account.,3,M,1,denmark,nothing,0,3 account day lock past tried
first class attendance by telia employee,2,F,5,denmark,nothing,0,attendance class employee first tel via
FLOT,3,F,5,denmark,nothing,0,fl
I got my order within 3 days!,1,M,5,denmark,nothing,0,3 day got order within
"My experience with 123-hjem as a buyer was an extremely pleasant one. The andelslejlighed wasn't much of a hard sell for them, but I found them - Kim Hinz-Berg in particular - to be very professional in looking after the interests of me, the buyer.",2,M,5,denmark,pleasant hard interests,3,nz particular kim looking much j one sell professional high
No Problems at all.,3,M,4,denmark,no problems,-3,problem
Is this card for free?,2,F,4,denmark,free,1,card free
No problems at all. Quick delivery.,2,F,5,denmark,no problems,-3,delivery problem quick
very fast in the shipments and very helpful!!,3,M,5,denmark,helpful,2,fast helpful shipment
"never been more easy to compare and find flights online @ coverage is great, speed even better @",3,M,5,denmark,easy great better,6,better compare coverage easy even find flight great never online
"I been using OnlineKeyStore for around 1-2 years and i never been led down, the keys come within 2 hours, if you got any problems the online support is great and if you get an invaild key they will give you a new one or refund you're money back in their own points for then to spend on other games or save them",1,M,5,denmark,problems support great save,5,problem ref oil one online pastor point never support using
"I have now shoppen 2 times from ktmschnellversand and i must say, the service is at the top.",2,M,5,denmark,top,2,sch say tm time shop service 2 k nell cover
"I bought Settlers 7. I couldn't find it anywhere just for a very high price. Googled it, dropped out Cool Shop. Bought it on monday. Next day it was already delivered in the morning. :) So thank you very much for the fast delivery and the very cheap price. And the game is Perfect. :D",2,M,5,denmark,cool thank perfect,6,much perfect high monday morning game next shop settler find
I'll just leave this here...,1,M,2,denmark,leave,-1,leave
"You pay a low price for a quality VPS, and I've experienced free upgrades twice.",1,M,5,denmark,pay free,0,experienced free low pay price quality twice upgrade vp
I got my money back,2,F,3,denmark,nothing,0,back got money
Super service.,3,F,5,denmark,super,3,service super
"PostDK has always been slow to understand an adapt to customer demands. Recent product addition, which competitors have had for some time already, allows cheaper shipping to local supermarkets, instead of directly to the address during a time window where you are never home anyway.",3,M,3,denmark,demands,-1,recent slow never post product instead shipping understand time directly
I placed an order (400 euros) 1 month ago but they never shipped it. I tried several times  to contact Fietspunt but they never respond. Now I have lost my money and I send out this warning - do not trust this company!,3,F,1,denmark,lost warning trust,-5,shipped time respond send several order want trust month tried
"We love Amazon.co.uk in my family. Most things are cheaper than in Denmark, and when buying for over 25 £ from Amazon itself the shipping for Denmark is absolutely free. Most recent products we have bought is a certain kind of (brand name) brush for our dog, a device for cleaning bike-chains, a replacement for a broken silver necklace, KitchenAid-attachments and a Giro bikehelmet. All brand-name items that are just cheaper on Amazon co.uk than in Denmark - and delivered directly to the office where I work. It just couldn´t be easier. One time there was a problem with a third-part seller who shipped the product directly from Korea - which meant that we had to pay taxes etc getting it into Denmark. Amazon.co.uk immediately solved the problem, and we got a refund for the extra expenses.",3,F,5,denmark,love free certain kind broken problem pay solved problem,2,name meant pay part one office necklace product kitchen kind
i have bought 3 items... all delivered in time... all products good... low cost.... im very impressed... from my point of view the ones that have had a bad experince only rewieved 1 store here. why.... you do the math...,3,M,5,denmark,good impressed bad,3,product steve one paper point low view time item store
for pointshop! I loooove it!,2,F,5,denmark,nothing,0,lo point shop
"Everything was done very quickly, convenient delivery",2,M,5,denmark,nothing,0,convenient delivery done everything quickly
"items as described, shipping very fast (1 day within DK), the only downside is the large shipping cost, should work on reducing that.",2,M,4,denmark,nothing,0,large fast within side shipping reducing 1 item cost described
takes serveral weeks for deletion. How am i happy that mailinator can take all your crap mails while i wait in enternalty to be deleted from your system.,2,M,1,denmark,happy crap,0,real happy week wait take system server ##inator mail deleted
Tried to get in touch using its customer service system but it says messages have been blocked due to the concern of spams!,3,M,2,denmark,blocked,-1,service message tried touch system spa arm say concern due
"A month ago I ordered dr.Martins shoes from the danish section of this company 800 d.kr..They confirm my order. 4 days later they cashed the money from my account. I haven`t got any shoes yet but several mails from the EU-company. Referring to the mail:""Please accept my sincerest apologies for the delay with your refund. Unfortunately our accounts team has informed us that due to an unexpected technical problem with the system we would use to refund your order, we are experiencing further delays processing your refund"". The mail is anonymous. Don`t ever order anything from this company - they are cheating you With regards - NAME NAME, Denmark",3,M,1,denmark,please accept sincere delay problem,1,problem ordered referring ref processing section please month name shoe
"I have ordered from Crazy Factory a few times now, and I absolutely love it.",2,F,5,denmark,crazy love,1,absolutely crazy factory love ordered time
Great prices for really fresh shoes!,1,M,4,denmark,great fresh,4,fresh great price really shoe
December måned 2013.,2,F,5,denmark,nothing,0,2013 december mane
finally found a good a trusted clothing site. just bought a dress . got it in good time and good quality.,2,F,5,denmark,good trusted good good,11,bought clothing dress finally found good got quality site time
